Term,Occurrence,Word count
contract bid process,1,3
carrier selection criteria,1,3
contract freight kind,1,3
bid award process,1,3
contract,5,1
shippers,5,1
Uber Freight,3,2
FTR Kate Kaufman,1,3
way carriers work,1,3
contract bidding process,1,3
need,4,1
rates,4,1
contracts,4,1
Avery Vise,2,2
contract paradigm,2,2
freight-matching,4,1
spot vs,2,2
brokers,4,1
way freight,1,2
supply chain,1,2
supply chains,1,2
price environment,1,2
contract freight,1,2
account ops,1,2
technology-driven interactions,1,2
technology,3,1
Robert Brothers,1,2
pricing rates,1,2
contract rates,1,2
spot market,1,2
people,3,1
way,3,1
business tension,1,2
product development,1,2
McLeod Software,1,2
cost structure,1,2
FTR Associates,1,2
months,3,1
Claude Pumilia,1,2
delivery schedules,1,2
business relationships,1,2
way carriers,1,2
track loads,1,2
bid cycles,1,2
Small Carriers,1,2
EKA Solutions,1,2
trucking research,1,2
data,2,1
move,2,1
RFP,2,1
carriers,2,1
visibility,2,1
CEO,2,1
changes,2,1
ability,2,1
DAT,1,1
president,1,1
spot,1,1
market,1,1
algorithms,1,1
reasons,1,1
kind,1,1
years,1,1
digitization,1,1
Related,1,1
benefits,1,1
VP,1,1
marketplace,1,1
choice,1,1
oversight,1,1
tension,1,1
access,1,1
fleets,1,1
experimentation,1,1
Pumilia,1,1
business,1,1
plan,1,1
clarity,1,1
creativity,1,1
RFPs,1,1
review,1,1
automation,1,1
manager,1,1
bids,1,1
year,1,1
price,1,1
freight,1,1
pricing,1,1
process,1,1
trend,1,1
levels,1,1
part,1,1
story,1,1
July,1,1
research,1,1
things,1,1
director,1,1
entrants,1,1
functions,1,1
companies,1,1
billing,1,1
chairman,1,1
founder,1,1
Singh,1,1
capacity,1,1
guarantee,1,1
time,1,1
industry,1,1
void,1,1
E-commerce,1,1
volume,1,1
Something,1,1
manpower,1,1
teams,1,1
value,1,1
Tough,1,1